id,source_book,chapter,verse,era,original_language,tamil,english,translator,source_url,license,iks_concepts,notes
AKA-0125,Akananuru,Verse 125,125,Sangam (c. 300 BCE – 300 CE),Tamil,முல்லை நில மான் கணம் மழை வரும் என்று ஓட்டம் பிடித்தன.,The deer herds of the Mullai pastoral land ran away sensing the approaching rains.,George L. Hart,https://www.tamilvirtualuniversity.org/,Public Domain,"Mullai, Pirivu",The deer's flight at the scent of rain is an omen for the hero's impending return.
PUR-0182,Purananuru,Verse 182,182,Sangam (c. 300 BCE – 300 CE),Tamil,உண்டாலம்ம இவ்வுலகம் இந்திரர் அமிழ்தம் இயைவது ஆயினும் இனிதெனத் தமியர் உண்டலும் இலரே.,"This world lives because men do not eat alone, even if the food were nectar of the gods.",A.K. Ramanujan,https://www.tamilvirtualuniversity.org/,Public Domain,"Kelir, Vrunthompal",Eulogizes altruism and selflessness — the Sangam ethic of sharing food.
TK-0096-POPE,Thirukkural,Chapter 10: Pleasant Words (இனியவை கூறல்),96,Post-Sangam (c. 1st–5th century CE),Tamil,சிறுமையுவந்து சீர்அல்ல செய்யும் பெருமை அகன்றவர் நட்பும் அகல்.,Avoid the friendship of the mean who delight in base deeds and shun what is excellent.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 96, Pleasant Words (இனியவை கூறல்)."
TK-0261-DREW,Thirukkural,Chapter 27: Penance (தவம்),261,Post-Sangam (c. 1st–5th century CE),Tamil,உற்றநோய் நோற்றல் உயிர்க்குறுகண் செய்யாமை அற்றே தவத்திற்கு உரு.,Bearing one's own pain and not causing pain to others is the true form of penance.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 261, Penance (தவம்)."
TK-0374-POPE,Thirukkural,Chapter 38: Fate / Destiny (ஊழ்),374,Post-Sangam (c. 1st–5th century CE),Tamil,நன்னிலையும் தீயதொன்றும் திங்களால் செய்யும் அலவன் கதி.,"Both good and bad states are wrought by fate, just as the crab is moved by the moon's influence.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 374, Fate / Destiny (ஊழ்)."
MMK-MM-1,Manimekalai,Passage MM-1,MM-1,Post-Sangam (c. 5th–6th century CE),Tamil,அறவழி நடப்பவரே அமைதியான மனதை அடைவர்.,Only those who walk the path of virtue attain a peaceful mind.,Alain Danielou,https://www.tamilvirtualuniversity.org/,Public Domain,"Aram, Thavam",Manimekalai's Buddhist ethic — virtue (Aram/Dharma) leads to mental peace.
TK-0266-DREW,Thirukkural,Chapter 27: Penance (தவம்),266,Post-Sangam (c. 1st–5th century CE),Tamil,வேண்டிய வேண்டியாங் கெய்தலால் செய்தவம் ஈண்டு முயல்வார்க்கு இனிது.,"Penance grants desired objects, making it sweet for those who strive.",W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 266, Penance (தவம்)."
TK-0085-DREW,Thirukkural,Chapter 9: Hospitality (விருந்தோம்பல்),85,Post-Sangam (c. 1st–5th century CE),Tamil,செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான் நல்விருந்து வானத்தவர்க்கு ஆம்.,He who serves present guests and awaits coming ones will be a welcome guest in heaven.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 85, Hospitality (விருந்தோம்பல்)."
TK-0027-DREW,Thirukkural,Chapter 3: The Greatness of Ascetics (நீத்தார் பெருமை),27,Post-Sangam (c. 1st–5th century CE),Tamil,குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்துக் கொளல்.,Avoid even a moment of the wrath of those who stand on virtue's summit.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 27, The Greatness of Ascetics (நீத்தார் பெருமை)."
TK-0138-DREW,Thirukkural,Chapter 14: Right Conduct (ஒழுக்கமுடைமை),138,Post-Sangam (c. 1st–5th century CE),Tamil,மறப்பினும் ஓத்துக்கொளலாகும் பார்ப்பான் பிறப்பொழுக்கம் குன்றல் இலன்.,A Brahmin who forgets his learning can relearn; but loss of conduct means loss of his birth.,W.H. Drew,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 138, Right Conduct (ஒழுக்கமுடைமை)."
TK-0066-POPE,Thirukkural,Chapter 7: The Blessing of Children (புதல்வரைப் பெறுதல்),66,Post-Sangam (c. 1st–5th century CE),Tamil,குழல்இனிது யாழ்இனிது என்பதம் மக்கள் மழலைச்சொல் கேளா தவர்.,Those who have not heard the prattle of their children say that the flute and harp are sweet.,G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 66, The Blessing of Children (புதல்வரைப் பெறுதல்)."
TK-0132-POPE,Thirukkural,Chapter 14: Right Conduct (ஒழுக்கமுடைமை),132,Post-Sangam (c. 1st–5th century CE),Tamil,பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித் தேரினும் அஃதே துணை.,"Guard conduct carefully; however much you consider, it is still the best guide.",G.U. Pope,https://www.tamilvirtualuniversity.org/,Public Domain,,"Thirukkural couplet 132, Right Conduct (ஒழுக்கமுடைமை)."
