id,tamil_text,english_translation,author,work_name,chapter,verse_number,era,literary_category,source_url,license,translator,translator_notes,commentary,iks_concepts,glossary,metadata,quality_score,is_valid
AKA-0001,தொல்காப்பியர் மொழிந்த திணைகளின் வழி நின்று ஐந்திணை இலக்கியம் வளர்ந்தது.,"Following the five-landscape (Tinai) classification that Tolkappiyar established, the five-landscape literature flourished.",Maruthan Ilanagan,Akananuru,Verse 1,1,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,A.K. Ramanujan,Landscape theory of classical poetry.,Refers to the organizing principle of the five tinais.,"[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'confidence': 1.0}]","{'திணைகளின்': 'of the landscapes', 'ஐந்திணை': 'five tinais'}",{},1.0,True
AKA-0125,முல்லை நில மான் கணம் மழை வரும் என்று ஓட்டம் பிடித்தன.,The deer herds of the Mullai pastoral land ran away sensing the approaching rains.,Various Sangam Poets,Akananuru,Verse 125,125,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The deer's flight at the scent of rain is an omen for the hero's impending return.,,"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}]",{},{},1.0,True
AKA-0073,நெய்தல் ஓதத்து நீர்வழி நிற்கும் தோழி நிலையம் அமர்ந்திட்டாள்.,The confidante stood steadfast by the tidal coastal waterway.,Various Sangam Poets,Akananuru,Verse 73,73,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The confidante's steady presence in the coastal landscape supports the grieving heroine.,,"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'confidence': 1.0}, {'concept_id': 'IKS-THOZHI', 'name': 'Thozhi', 'meaning': 'Female confidante, helper, or companion', 'confidence': 1.0}]",{},{},1.0,True
AKA-0149,கார்காலம் வந்தது கலிங்கத்துப் பறவைகள் கூவும் காலை.,The rainy season has come; in the morning the birds of Kalinga cry.,Various Sangam Poets,Akananuru,Verse 149,149,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The arrival of the monsoon in the Mullai landscape signals the season for the hero to return.,,"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}]",{},{},1.0,True
AKA-0010,பாலை நடந்தவன் பண்பு மறவாது நினைக்கும் தலைவி.,The heroine never forgets the character of the one who journeyed through the arid Palai lands.,Various Sangam Poets,Akananuru,Verse 10,10,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The heroine's memory of her lover's noble character sustains her through separation in Palai.,,"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'confidence': 1.0}, {'concept_id': 'IKS-PANPU', 'name': 'Panpu', 'meaning': 'Classical Tamil IKS concept of Panpu', 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'confidence': 1.0}]",{},{},1.0,True
AKA-0168,மருதம் நிலத்தில் மனைவி மனம் கொதித்து ஊடல் கொண்டாள்.,"In the fertile Marutham land, the wife seethed inwardly and took up a lover's tiff.",Various Sangam Poets,Akananuru,Verse 168,168,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The Marutham landscape scenario of marital infidelity and the wife's righteous jealousy (Udal).,,"[{'concept_id': 'IKS-MARUTHAM', 'name': 'Marutham', 'meaning': 'Agricultural/fertile landscape (associated with infidelity/quarrel)', 'confidence': 1.0}, {'concept_id': 'IKS-UDAL', 'name': 'Udal', 'meaning': ""Marital tiff, feigned anger, or lovers' quarrel"", 'confidence': 1.0}]",{},{},1.0,True
AKA-0037,பொய்யார் அகலம் விரிந்த தமிழர் நாட்டில் அறம் ஆளும் அரசன் வாழ்வான்.,"In the broad Tamil land where the truthful flourish, the virtuous king who rules righteously will prosper.",Various Sangam Poets,Akananuru,Verse 37,37,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,A vision of the Tamil land as a place where truth and righteous kingship create prosperity.,,"[{'concept_id': 'IKS-VAIMAI', 'name': 'Vaimai', 'meaning': 'Classical Tamil IKS concept of Vaimai', 'confidence': 1.0}, {'concept_id': 'IKS-SENGOL', 'name': 'Sengol', 'meaning': 'Classical Tamil IKS concept of Sengol', 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'confidence': 1.0}]",{},{},1.0,True
AKA-0055,காடு கடந்தவர் கடன் தீர்க்க மறவாது வந்தனர்.,Those who crossed the forest came back without forgetting their debt.,Various Sangam Poets,Akananuru,Verse 55,55,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The hero's return from the forest journey fulfilling his duty (Vinai) and obligations.,,"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'confidence': 1.0}, {'concept_id': 'IKS-VINAI', 'name': 'Vinai', 'meaning': 'Classical Tamil IKS concept of Vinai', 'confidence': 1.0}]",{},{},1.0,True
AKA-0100,வேல்வீரன் வெற்றிக்கு மகிழ்ந்த குடிமக்கள் வாகை மாலை சூடினர்.,The people rejoiced at the warrior's victory and wore garlands of Vakai flowers.,Various Sangam Poets,Akananuru,Verse 100,100,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The Vakai flower garland marks celebration of military victory in Puram genre conventions.,,"[{'concept_id': 'IKS-VAKAI', 'name': 'Vakai', 'meaning': 'Classical Tamil IKS concept of Vakai', 'confidence': 1.0}, {'concept_id': 'IKS-VIRAM', 'name': 'Viram', 'meaning': 'Valor, bravery, or heroism', 'confidence': 1.0}]",{},{},1.0,True
AKA-0082,குறிஞ்சி மலரும் குளிர்வளி வீசும் தலைவன் வரும் நாள் என்று தலைவி காத்தாள்.,"The Kurinji flowers bloom, the cool breeze blows — the heroine waited for the day her love would return.",Various Sangam Poets,Akananuru,Verse 82,82,Sangam (c. 300 BCE – 300 CE),Love/Akam,https://www.tamilvirtualuniversity.org/,Public Domain,George L. Hart,The blooming Kurinji flowers mark seasonal promise — the heroine awaits her lover's return.,,"[{'concept_id': 'IKS-KURINJI', 'name': 'Kurinji', 'meaning': 'Mountainous landscape (associated with union)', 'confidence': 1.0}, {'concept_id': 'IKS-KADAL', 'name': 'Kadal', 'meaning': 'Classical Tamil IKS concept of Kadal', 'confidence': 1.0}]",{},{},1.0,True
