id,work_name,author,translator,era,literary_type,chapter,verse_number,tamil_text,english_translation,alternate_translations,commentary,glossary,iks_concepts,concept_ids,semantic_tags,source_reference,license,quality_score,is_valid,validation_errors
AKN-0001,Ainkurunuru,Various Sangam Poets,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 1,1,அன்னாய் வாழி வேண்டு அன்னை நம் படப்பைத் தேன்மயங்கு பாலினும் இனிய நீர்.,"May you live long, mother! The water in our garden is sweeter than milk mixed with honey.",[],Expressing the sweetness of love and nature in the family estate.,"{'அன்னாய்': 'mother', 'இனிய': 'sweet', 'நீர்': 'water'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}, {'concept_id': 'IKS-ANBU', 'name': 'Anbu', 'meaning': 'Love, affection, or emotional/familial bonding', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-KARPU', 'IKS-UDAL'], 'confidence': 1.0}]","['IKS-ANBU', 'IKS-THINAI']","['thinai', 'anbu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
AKA-0001,Akananuru,Maruthan Ilanagan,A.K. Ramanujan,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 1,1,தொல்காப்பியர் மொழிந்த திணைகளின் வழி நின்று ஐந்திணை இலக்கியம் வளர்ந்தது.,"Following the five-landscape (Tinai) classification that Tolkappiyar established, the five-landscape literature flourished.",[],Refers to the organizing principle of the five tinais.,"{'திணைகளின்': 'of the landscapes', 'ஐந்திணை': 'five tinais'}","[{'concept_id': 'IKS-THINAI', 'name': 'Thinai', 'meaning': 'Poetic landscapes, ecological/climatic zones, or behavior genres', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-MULLAI', 'IKS-KURINJI', 'IKS-NEYTHAL', 'IKS-PALAI', 'IKS-MARUTHAM'], 'confidence': 1.0}]",['IKS-THINAI'],['thinai'],https://www.tamilvirtualuniversity.org/,Public Domain,0.97,True,[]
AKA-0125,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 125,125,முல்லை நில மான் கணம் மழை வரும் என்று ஓட்டம் பிடித்தன.,The deer herds of the Mullai pastoral land ran away sensing the approaching rains.,[],,{},"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-MULLAI', 'IKS-PIRIVU']","['mullai', 'pirivu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0073,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 73,73,நெய்தல் ஓதத்து நீர்வழி நிற்கும் தோழி நிலையம் அமர்ந்திட்டாள்.,The confidante stood steadfast by the tidal coastal waterway.,[],,{},"[{'concept_id': 'IKS-NEYTHAL', 'name': 'Neythal', 'meaning': 'Coastal/seashore landscape (associated with separation/grief)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-THOZHI', 'name': 'Thozhi', 'meaning': 'Female confidante, helper, or companion', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-NEYTHAL', 'IKS-THOZHI']","['neythal', 'thozhi']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0149,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 149,149,கார்காலம் வந்தது கலிங்கத்துப் பறவைகள் கூவும் காலை.,The rainy season has come; in the morning the birds of Kalinga cry.,[],,{},"[{'concept_id': 'IKS-MULLAI', 'name': 'Mullai', 'meaning': 'Pastoral/forest landscape (associated with waiting)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-MULLAI', 'IKS-PIRIVU']","['mullai', 'pirivu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0010,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 10,10,பாலை நடந்தவன் பண்பு மறவாது நினைக்கும் தலைவி.,The heroine never forgets the character of the one who journeyed through the arid Palai lands.,[],,{},"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PANPU', 'name': 'Panpu', 'meaning': 'Classical Tamil IKS concept of Panpu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-PIRIVU', 'name': 'Pirivu', 'meaning': 'Classical Tamil IKS concept of Pirivu', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-PANPU', 'IKS-PALAI', 'IKS-PIRIVU']","['palai', 'panpu', 'pirivu']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0168,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 168,168,மருதம் நிலத்தில் மனைவி மனம் கொதித்து ஊடல் கொண்டாள்.,"In the fertile Marutham land, the wife seethed inwardly and took up a lover's tiff.",[],,{},"[{'concept_id': 'IKS-MARUTHAM', 'name': 'Marutham', 'meaning': 'Agricultural/fertile landscape (associated with infidelity/quarrel)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-UDAL', 'name': 'Udal', 'meaning': ""Marital tiff, feigned anger, or lovers' quarrel"", 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ANBU', 'IKS-MARUTHAM'], 'confidence': 1.0}]","['IKS-UDAL', 'IKS-MARUTHAM']","['marutham', 'udal']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0037,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 37,37,பொய்யார் அகலம் விரிந்த தமிழர் நாட்டில் அறம் ஆளும் அரசன் வாழ்வான்.,"In the broad Tamil land where the truthful flourish, the virtuous king who rules righteously will prosper.",[],,{},"[{'concept_id': 'IKS-VAIMAI', 'name': 'Vaimai', 'meaning': 'Classical Tamil IKS concept of Vaimai', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-SENGOL', 'name': 'Sengol', 'meaning': 'Classical Tamil IKS concept of Sengol', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-ARAM', 'name': 'Aram', 'meaning': 'Virtue, righteousness, or moral ethics in classical Tamil thought', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARUL', 'IKS-OZHUKKAM', 'IKS-PORUL'], 'confidence': 1.0}]","['IKS-SENGOL', 'IKS-ARAM', 'IKS-VAIMAI']","['vaimai', 'sengol', 'aram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0055,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 55,55,காடு கடந்தவர் கடன் தீர்க்க மறவாது வந்தனர்.,Those who crossed the forest came back without forgetting their debt.,[],,{},"[{'concept_id': 'IKS-PALAI', 'name': 'Palai', 'meaning': 'Arid/desert landscape (associated with journey/separation)', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-VINAI', 'name': 'Vinai', 'meaning': 'Classical Tamil IKS concept of Vinai', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}]","['IKS-VINAI', 'IKS-PALAI']","['palai', 'vinai']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
AKA-0100,Akananuru,Various Sangam Poets,George L. Hart,Sangam (c. 300 BCE – 300 CE),Love/Akam,Verse 100,100,வேல்வீரன் வெற்றிக்கு மகிழ்ந்த குடிமக்கள் வாகை மாலை சூடினர்.,The people rejoiced at the warrior's victory and wore garlands of Vakai flowers.,[],,{},"[{'concept_id': 'IKS-VAKAI', 'name': 'Vakai', 'meaning': 'Classical Tamil IKS concept of Vakai', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': [], 'confidence': 1.0}, {'concept_id': 'IKS-VIRAM', 'name': 'Viram', 'meaning': 'Valor, bravery, or heroism', 'historical_era': 'Sangam (c. 300 BCE – 300 CE)', 'related_concepts': ['IKS-ARASAN', 'IKS-PUKAZH'], 'confidence': 1.0}]","['IKS-VIRAM', 'IKS-VAKAI']","['vakai', 'viram']",https://www.tamilvirtualuniversity.org/,Public Domain,0.92,True,[]
