verse_id,work_name,tamil_length,english_length,quality_score,detected_concepts,validation_errors
AKN-0001,Ainkurunuru,69,89,0.97,Thinai|Anbu,
AKA-0001,Akananuru,71,123,0.97,Thinai,
AKA-0125,Akananuru,53,82,0.92,Mullai|Pirivu,
AKA-0073,Akananuru,60,61,0.92,Neythal|Thozhi,
AKA-0149,Akananuru,50,67,0.92,Mullai|Pirivu,
AKA-0010,Akananuru,44,94,0.92,Palai|Panpu|Pirivu,
AKA-0168,Akananuru,51,83,0.92,Marutham|Udal,
AKA-0037,Akananuru,65,106,0.92,Vaimai|Sengol|Aram,
AKA-0055,Akananuru,42,69,0.92,Palai|Vinai,
AKA-0100,Akananuru,59,80,0.92,Vakai|Viram,
AKA-0082,Akananuru,72,104,0.92,Kurinji|Kadal,
KLI-0051,Kalithogai,41,63,0.97,Thinai|Anbu,
KRT-0003,Kurunthogai,132,145,0.97,Thinai|Anbu|Kurinji,
KRT-0040,Kurunthogai,54,79,0.97,Anbu,
KRT-0135,Kurunthogai,54,96,0.97,Aram,
KRT-0119,Kurunthogai,51,74,0.92,Anbu|Uyir,
KRT-0057,Kurunthogai,52,93,0.92,Neythal|Kadal,
KRT-0017,Kurunthogai,60,78,0.92,Neythal|Pirivu,
KRT-0009,Kurunthogai,56,65,0.92,Anbu|Kadal,
KRT-0031,Kurunthogai,118,113,0.92,Neythal|Kadal,
KRT-0065,Kurunthogai,64,97,0.92,Kollamai|Aram,
MDK-0770,Maduraikanchi,68,120,0.97,Porul,
MMK-0001,Manimekalai,34,37,0.97,Aram|Arul,
MMK-MM-1,Manimekalai,36,62,0.92,Aram|Thavam,
MMK-MM-6,Manimekalai,53,101,0.92,Porul|Ozhukkam,
MMK-MM-5,Manimekalai,37,60,0.92,Arul|Anbu,
MMK-MM-4,Manimekalai,57,56,0.92,Aram|Thavam,
MMK-MM-2,Manimekalai,46,85,0.92,Igai|Pukazh,
NAT-0001,Natrinai,47,88,0.97,Thinai,
NAT-0045,Natrinai,55,81,0.92,Thozhi|Anbu,
NAT-0004,Natrinai,70,74,0.92,Neythal|Kadal,
NAT-0012,Natrinai,72,95,0.92,Neythal|Pirivu|Kadal,
NAT-0006,Natrinai,62,91,0.92,Kurinji|Kadal,
NAT-0015,Natrinai,67,75,0.92,Anbu|Panpu,
NAT-0023,Natrinai,65,95,0.92,Illaram|Aram,
NAT-0034,Natrinai,61,79,0.92,Neythal|Pirivu|Kadal,
NAT-0009,Natrinai,69,94,0.92,Mullai|Pirivu,
NAT-0052,Natrinai,70,89,0.92,Palai|Pirivu|Kadal,
PAR-0001,Paripadal,59,82,0.97,Arul,
PAR-0002,Paripadal,61,86,0.97,Arul|Anbu,
PTR-0011,Pathitrupathu,58,107,0.97,Sanror,
PTR-0031,Pathitrupathu,51,82,0.92,Kodai|Viram|Arasan,
PTR-0041,Pathitrupathu,64,76,0.92,Arasan|Aram|Sengol,
PTR-0022,Pathitrupathu,61,82,0.92,Vrunthompal|Aram,
PTR-0052,Pathitrupathu,54,68,0.92,Pukazh|Kodai|Arasan,
